name,ROW_ID,cueType,a,a_soundTyp,b,b_soundTyp,c,c_soundTyp,d,d_soundTyp,a_weighted,b_weighted,c_weighted,d_weighted,weighted_zSound
TYS_104,44,sound,382.0,1.2200000290000002,0.0,NA,327.99999999999994,0.01,480.0,-1.519999981,466.0400110780001,NA,3.2799999999999994,-729.59999088,-0.21872267210252092
TYS_104,45,sound,0.0,NA,184.0,0.610000014,0.0,NA,0.0,NA,NA,112.24000257600001,NA,NA,0.610000014
TYS_104,46,sound,0.0,NA,0.0,NA,0.0,NA,306.0,-1.519999981,NA,NA,NA,-465.119994186,-1.519999981
TYS_104,47,label,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,48,label,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,49,label,110.0,1.2200000290000002,100.0,0.610000014,204.0,0.01,70.0,-1.519999981,134.20000319000002,61.0000014,2.04,-106.39999867,0.1876859626446281
TYS_104,50,label,126.0,1.2200000290000002,0.0,NA,0.0,NA,231.99999999999997,-1.519999981,153.720003654,NA,NA,-352.63999559199993,-0.5556424355810053
TYS_104,51,sound,0.0,NA,0.0,NA,386.0,0.059999999000000005,0.0,NA,NA,NA,23.159999614000004,NA,0.05999999900000001
TYS_104,52,sound,380.0,1.4500000480000002,201.99999999999997,0.150000006,0.0,NA,0.0,NA,551.00001824,30.300001211999994,NA,NA,0.9987972842817869
TYS_104,53,sound,122.0,1.4500000480000002,0.0,NA,240.0,0.059999999000000005,0.0,NA,176.900005856,NA,14.399999760000002,NA,0.5284530541878454
TYS_104,54,sound,162.0,1.4500000480000002,214.0,0.150000006,280.0,0.059999999000000005,392.0,-0.8199999929999999,234.90000777600002,32.100001284,16.799999720000002,-321.43999725599997,-0.03591601953816787
TYS_104,55,label,0.0,NA,0.0,NA,300.0,0.059999999000000005,216.00000000000003,-0.8199999929999999,NA,NA,17.9999997,-177.11999848800002,-0.3083720906744187
TYS_104,56,label,248.0,1.4500000480000002,0.0,NA,604.0,0.059999999000000005,522.0,-0.819999993,359.60001190400004,NA,36.239999396,-428.039996346,-0.023435214735080055
