"name","ROW_ID","category","cueType","sound_file","block","trialIndex_new","sinceImageOnset","eventStart","eventEnd","eventImageFile","eventImageLoc","zSound","ordered_sound","validRT","validDur","valid","cueTypeC"
"TYS_120",20,"bee","sound","bee_sound.wav",4,67,567.619979,333.619979,567.619979,"bee_pic_sound.jpg","right_down",0.513816414841703,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",21,"bee","sound","bee_sound.wav",3,55,786.852717,318.852717,786.852717,"bee_pic_sound.jpg","right_down",0.513816414841703,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",22,"bee","sound","bee_sound.wav",2,39,470.093578,286.093578,470.093578,"bee_pic_label.jpg","right_up",-0.0906734849720654,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",23,"bee","label","bee_label.wav",4,77,436.042547,248.042547,436.042547,"bee_pic_both.jpg","right_up",0.93695934471134,"a",TRUE,TRUE,TRUE,-0.5
"TYS_120",24,"bee","label","bee_label.wav",3,50,679.676294,447.676294,679.676294,"bee_pic_sound.jpg","right_up",0.513816414841703,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",25,"bee","label","bee_label.wav",3,52,558.9481,330.9481,558.9481,"bee_pic_sound.jpg","right_down",0.513816414841703,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",26,"bee","label","bee_label.wav",4,73,517.046809,247.046809,517.046809,"bee_pic_neither.jpg","right_up",-1.36010227458098,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",27,"bird","sound","bird_sound.wav",2,31,598.900735,290.900735,598.900735,"bird_pic_both.jpg","left_down",0.74988874371626,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",28,"bird","sound","bird_sound.wav",1,15,644.072235,316.072235,644.072235,"bird_pic_both.jpg","right_up",0.74988874371626,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",29,"bird","sound","bird_sound.wav",2,38,609.892726,309.892726,609.892726,"bird_pic_neither.jpg","right_down",-0.800556902075467,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",30,"bird","sound","bird_sound.wav",1,16,678.7045,486.7045,678.7045,"bird_pic_both.jpg","right_up",0.74988874371626,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",31,"bird","label","bird_label.wav",4,76,609.015703,421.015703,609.015703,"bird_pic_neither.jpg","right_up",-0.800556902075467,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",32,"bird","label","bird_label.wav",4,66,727.113008,399.113008,727.113008,"bird_pic_both.jpg","right_up",0.74988874371626,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",33,"bird","label","bird_label.wav",3,47,485.712379,261.712379,485.712379,"bird_pic_neither.jpg","right_up",-0.800556902075467,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",34,"bird","label","bird_label.wav",2,27,457.072854,383.072854,457.072854,"bird_pic_neither.jpg","right_up",-0.800556902075467,"c",FALSE,TRUE,FALSE,-0.5
"TYS_120",35,"dog","sound","dog_sound.wav",1,14,628.791571,504.791571,628.791571,"dog_pic_neither.jpg","left_down",-0.4618471092186,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",36,"dog","sound","dog_sound.wav",1,13,651.20554,395.20554,651.20554,"dog_pic_neither.jpg","right_up",-0.4618471092186,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",37,"dog","sound","dog_sound.wav",1,7,1008.203626,506.203626,1008.203626,"dog_pic_neither.jpg","right_up",-0.4618471092186,"c",TRUE,TRUE,TRUE,0.5
